temperature,vibration,pressure,rpm,runtime_hours,load_percent,oil_quality_index,failure_within_30_days
77.85,6.69,52.0,3216,3115,90.55,71.51,1
67.87,7.41,57.04,3039,11255,74.04,73.95,0
57.65,5.9,45.18,2648,6584,40.21,83.0,0
75.87,5.02,61.14,3267,10420,81.02,59.36,0
68.65,5.85,75.33,2363,5139,71.05,73.65,0
77.79,3.3,36.61,2140,433,74.86,100.0,0
75.26,4.22,39.21,1202,7277,85.98,64.5,1
94.22,3.02,48.24,2765,12613,75.74,84.81,0
72.13,2.25,48.88,2389,10440,41.49,79.86,0
62.72,5.1,82.98,2999,11015,65.43,69.54,0
77.15,4.83,69.02,1814,10082,38.88,75.32,0
77.64,5.74,68.22,2476,11023,79.68,98.29,0
91.31,5.48,51.3,3035,11648,93.16,80.3,1
85.02,4.94,50.99,2285,7627,45.65,82.65,0
79.28,5.5,34.68,3005,9414,55.91,96.01,0
92.56,4.42,65.94,2521,17716,52.12,67.66,1
60.73,5.24,61.87,2784,9710,59.83,56.3,0
67.32,3.19,73.0,3098,9213,75.42,98.53,0
63.88,5.17,52.05,3276,9514,60.02,74.05,1
70.32,5.7,53.02,2846,7910,79.75,85.4,1
58.48,3.29,57.38,2393,6823,87.18,60.57,1
82.62,4.59,67.49,2571,10043,87.83,77.83,1
72.33,3.38,34.42,3118,6471,47.87,55.55,0
57.35,3.55,65.3,2289,8272,92.95,72.96,0
62.81,2.48,54.71,2711,5047,94.39,62.28,0
78.76,6.78,40.18,2607,9540,95.95,58.84,1
85.06,6.42,25.82,2748,11921,65.16,67.45,1
98.96,5.47,53.09,2295,7940,54.47,37.6,1
109.97,8.05,75.27,1874,50,50.28,54.6,1
79.97,4.16,78.45,3060,11952,48.17,83.74,0
63.13,9.96,59.98,3282,9601,68.21,77.21,1
49.42,4.09,82.47,1904,4034,83.26,55.89,0
78.21,4.96,54.4,2984,12866,91.52,80.22,0
65.24,3.78,68.35,3342,2008,59.26,58.83,1
70.02,5.17,48.68,3098,14227,67.3,82.83,0
67.65,6.0,47.8,2592,8713,66.12,70.27,0
73.31,4.29,45.51,2328,50,56.56,67.12,0
87.79,7.7,26.15,2840,9892,81.24,70.63,1
76.88,4.93,73.02,2924,6969,74.53,100.0,0
73.1,4.99,46.02,2848,6216,70.55,60.62,1
62.57,2.86,43.78,2710,5311,74.45,75.4,0
54.9,5.25,38.48,2259,8364,79.08,83.72,0
69.16,4.26,52.14,3011,6574,78.9,57.56,1
74.35,3.41,79.69,3035,50,52.91,48.09,0
96.22,3.1,84.31,2900,15360,84.13,62.98,0
76.56,9.31,31.75,2855,7778,72.6,83.39,1
86.79,4.03,50.04,3640,5340,60.18,66.87,1
69.01,1.88,40.52,2488,3358,72.22,68.53,0
60.78,3.24,68.84,3441,12854,74.2,85.66,0
63.42,4.41,59.01,2433,2508,87.47,59.9,1
66.3,5.48,46.09,3354,9670,49.17,70.67,0
100.54,5.5,56.02,3417,6082,91.85,49.29,1
65.14,5.72,48.32,2653,6373,68.42,76.81,0
85.06,3.34,77.6,3630,3482,58.89,75.44,0
64.16,5.11,62.66,3035,5898,58.34,83.93,0
86.18,2.92,64.38,2361,9044,49.98,54.82,0
79.62,3.38,17.66,2613,10177,36.66,69.12,1
73.12,2.85,54.06,3366,5072,80.19,52.82,0
74.51,2.36,84.16,3262,8545,103.66,68.31,0
67.14,6.42,73.57,2271,13442,38.88,94.23,0
80.35,5.74,29.14,2730,687,50.89,67.19,1
69.54,6.26,50.61,2902,8969,81.53,51.51,1
60.29,4.57,38.18,2546,4246,67.18,61.8,0
59.66,5.9,78.96,3979,3737,83.02,47.84,0
77.07,1.33,58.42,2917,10305,66.17,52.56,1
93.95,6.05,44.25,2769,6274,57.55,82.06,1
76.92,4.82,55.48,3395,2916,63.93,50.31,0
73.58,5.63,18.5,2617,15621,25.12,76.68,1
78.43,5.18,39.81,3304,13600,47.42,72.39,0
90.67,2.72,55.51,1966,50,85.07,64.03,1
77.63,1.8,66.84,2573,1628,89.45,75.41,0
70.07,3.22,27.82,3325,11967,93.31,57.94,1
88.28,5.52,49.66,3585,7576,75.94,84.61,1
80.15,5.74,69.14,2413,16503,27.39,61.52,1
93.43,2.04,34.68,2355,12082,56.57,66.2,1
77.2,2.73,58.21,3084,10497,91.84,64.42,1
60.31,3.2,55.92,2488,3891,97.21,82.34,0
58.58,3.86,79.0,2666,11457,92.53,80.17,1
94.81,2.05,51.78,3238,2621,63.75,32.67,1
95.68,1.94,52.6,2528,15526,44.48,75.81,0
72.85,3.02,66.97,1817,11111,67.27,45.83,1
70.4,4.66,36.43,2149,4876,68.27,66.88,0
92.54,2.37,51.91,2805,13023,96.18,70.38,1
61.72,4.29,48.62,1868,20208,72.1,66.72,0
64.26,6.41,53.06,2651,7912,68.3,79.51,1
82.72,2.16,66.88,2104,11752,69.32,82.8,0
70.26,4.13,62.76,3620,6841,75.2,60.4,1
74.94,6.34,44.52,3883,9427,79.28,59.85,1
73.04,3.75,56.91,2271,1464,54.96,71.46,0
79.05,3.47,75.87,2928,8997,48.96,48.84,1
91.89,6.59,43.36,2320,9218,92.67,64.85,1
76.09,3.95,57.03,2645,17995,38.46,92.22,0
82.73,6.49,52.3,3702,50,97.48,49.41,1
50.4,5.27,54.12,2567,7596,33.61,66.9,0
74.42,3.88,32.17,2657,15441,57.48,63.12,1
64.88,5.36,74.75,2329,7791,85.49,100.0,0
60.37,5.08,44.16,3373,8143,68.01,63.93,0
64.46,6.34,69.37,1168,4834,44.3,64.8,0
70.99,3.51,46.3,2579,4337,75.68,56.54,0
85.99,4.57,46.24,2777,50,69.21,72.14,1
59.08,4.39,71.98,2469,5854,64.11,76.05,0
75.37,5.77,68.91,3232,4053,56.77,58.71,0
69.19,2.65,57.92,3401,9590,67.38,86.83,0
71.07,6.33,65.66,2094,5062,57.53,76.07,0
87.03,5.34,50.96,3847,6602,111.82,84.78,1
81.46,2.13,54.88,2088,6739,63.68,67.08,1
91.05,6.67,45.74,3444,8759,61.27,75.65,1
73.15,8.52,67.66,2875,6357,58.25,68.8,1
66.65,6.3,45.29,2548,3691,99.99,93.87,0
72.31,7.07,75.79,2595,9429,38.5,73.74,1
77.91,4.65,50.58,2783,14337,74.47,72.13,1
77.12,1.51,55.29,2904,9642,63.69,65.13,0
61.99,1.18,65.62,2340,5951,42.38,64.26,0
76.09,4.96,55.33,2683,8384,53.26,75.57,0
77.74,3.43,50.83,2415,50,73.71,84.29,0
105.21,2.85,54.58,2192,8303,52.44,61.73,1
97.52,4.39,67.51,2391,6998,72.67,73.9,0
64.76,5.61,45.72,2225,4333,99.12,74.76,0
71.55,1.89,53.23,2590,5240,71.07,77.38,0
57.44,3.69,55.14,3016,6949,41.84,46.39,0
67.91,7.22,67.1,2860,13962,52.76,58.13,1
78.79,2.56,53.6,3787,14460,62.86,51.51,1
89.47,6.07,80.32,1695,4359,61.66,72.49,0
66.25,3.63,52.81,3035,6410,70.74,58.49,0
67.15,5.48,51.67,2803,6537,73.62,64.56,1
49.23,6.48,52.61,3208,13048,99.15,54.09,1
73.05,5.83,36.57,3158,9728,67.93,65.95,1
62.25,6.14,40.49,2718,9464,47.26,55.14,0
68.65,2.43,47.57,2886,11681,88.77,83.37,0
64.48,6.5,70.9,2428,6018,90.73,79.19,1
73.87,2.97,54.54,3107,15819,72.18,74.25,1
53.91,4.97,48.21,1861,8991,63.56,67.47,0
57.4,4.96,72.17,3188,4720,79.21,41.43,0
100.55,5.37,76.72,2788,7852,64.2,65.13,1
59.55,5.11,72.58,2556,15160,31.0,60.58,0
61.84,2.98,43.06,2684,6874,78.14,75.71,0
97.04,2.07,48.07,2720,13748,84.06,81.3,1
109.86,6.07,80.39,3449,5873,93.94,76.87,1
60.94,4.83,58.38,4200,5172,54.85,90.95,0
70.58,6.57,51.25,3410,12298,72.07,63.48,1
79.1,4.42,65.06,2517,4630,72.46,62.85,1
95.74,1.97,69.1,3115,13113,69.54,87.57,0
63.16,6.24,47.0,3137,10758,70.07,74.49,0
72.06,3.83,58.07,2337,4632,68.67,68.3,0
84.33,5.12,67.97,2170,8643,71.81,99.7,0
80.22,3.33,38.76,2768,6256,81.33,80.67,1
70.49,7.46,55.17,3204,10745,89.97,69.14,1
73.39,2.92,39.4,1994,18439,54.39,61.71,1
58.5,3.89,41.23,2440,7146,64.9,91.9,0
72.14,4.69,47.12,3086,11669,60.39,75.1,1
71.8,2.53,61.68,2821,9122,57.82,72.37,0
77.79,5.09,50.49,3508,9120,38.91,82.14,0
68.34,7.4,45.92,2094,8174,68.44,85.2,0
80.66,3.62,55.72,3976,4713,76.63,80.25,0
87.15,5.21,38.94,2031,10676,65.21,85.26,0
76.87,0.2,61.0,1785,7556,67.84,78.77,0
79.22,4.43,70.84,2771,4476,75.53,80.32,0
75.64,3.94,53.89,2233,14071,93.4,61.03,1
75.0,3.03,52.16,2781,9495,60.44,99.16,0
66.34,6.45,60.23,2763,7860,46.91,53.49,0
78.8,3.91,26.6,2702,15700,66.37,76.64,1
73.83,4.18,62.52,2379,50,101.9,51.95,1
100.12,3.82,98.43,3016,15364,47.1,70.53,0
93.88,1.05,53.28,2641,4599,79.7,63.43,0
79.63,2.46,53.33,3352,10058,88.84,74.04,0
65.84,6.23,65.41,2710,6060,25.42,77.13,0
61.65,0.7,78.03,2318,4385,75.38,57.65,0
89.29,3.12,68.65,1956,15569,78.86,71.56,1
78.15,3.78,24.82,2714,18281,63.19,92.91,0
80.76,7.64,62.89,2165,7894,56.36,52.32,1
54.06,5.88,91.01,2125,10677,57.37,59.19,0
86.13,3.5,63.71,3064,9285,62.09,84.91,0
80.45,6.85,38.84,1911,17653,62.56,73.16,1
61.67,3.17,58.95,3506,50,59.17,74.27,0
69.34,6.32,37.07,2880,10886,61.8,87.33,0
78.16,2.05,72.26,2778,5364,89.43,60.09,0
75.63,6.43,41.62,2283,50,46.14,64.21,0
71.49,3.77,56.04,3182,7197,36.52,62.36,0
73.76,2.65,42.99,2799,18240,89.72,66.78,1
71.98,4.11,47.35,2457,5720,64.54,92.09,0
76.83,5.0,75.81,2900,12954,61.01,46.48,1
92.66,3.61,56.45,1959,14993,66.0,54.09,1
44.2,5.5,47.17,1982,8937,71.77,51.51,1
72.16,3.45,38.97,2240,9602,58.57,93.03,0
77.12,5.62,28.8,2975,419,77.11,62.78,1
78.55,5.3,37.48,2798,5419,50.68,67.1,1
70.54,4.39,56.57,3324,13535,62.57,47.78,1
53.92,3.71,68.72,2340,9303,28.14,68.06,0
78.94,4.77,47.16,3087,10837,89.1,85.0,1
95.73,5.49,76.99,2743,9666,64.83,75.79,0
56.59,8.21,44.95,2328,19960,80.06,70.38,1
85.37,6.19,51.67,2993,6847,76.58,48.53,1
71.06,6.26,39.89,2767,17027,77.9,67.08,1
74.26,10.06,68.87,2485,9668,67.86,74.2,1
62.37,5.43,84.37,2821,17471,74.99,57.12,1
70.99,5.37,30.33,2735,2875,50.7,81.82,0
90.6,5.77,50.15,2723,9923,46.92,85.28,0
81.99,2.68,72.71,2594,7032,66.18,64.07,1
95.79,3.7,34.74,2148,9697,55.76,82.89,1
89.13,3.59,62.93,2837,15112,93.66,70.35,1
80.27,5.67,72.1,2399,10894,74.75,89.21,1
95.93,4.19,56.1,2290,15102,55.1,100.0,0
80.27,4.75,62.7,2680,5649,63.11,55.6,1
84.94,6.46,79.65,3167,4886,70.39,83.54,0
71.44,6.05,82.28,2893,9081,66.78,91.57,0
75.8,4.21,54.13,2534,8807,72.89,57.44,1
66.63,3.29,47.55,2514,8071,69.24,63.37,0
86.88,6.54,42.12,3118,4207,42.97,63.2,1
60.86,5.89,68.68,1602,14993,29.28,70.01,0
84.39,1.61,35.8,3199,7186,61.28,66.65,1
72.71,3.94,51.46,1863,16130,78.09,69.03,1
89.05,4.8,56.44,2092,9064,61.48,84.57,1
84.01,5.9,47.96,2543,12242,90.26,43.56,1
96.85,6.14,58.92,3885,11789,67.16,57.39,1
83.77,5.01,90.9,3639,4879,92.43,82.05,0
56.14,5.55,53.3,3153,10836,88.73,80.29,0
74.2,4.62,48.9,2978,18642,86.92,56.12,1
60.94,3.29,69.21,1869,10258,46.34,80.4,0
68.78,4.03,58.35,2878,13506,68.31,91.9,0
93.13,4.53,75.15,2525,12466,90.01,71.26,0
82.65,4.44,57.31,2392,10535,72.9,56.88,1
66.61,1.11,51.52,2877,9932,77.98,85.12,0
62.84,3.78,30.03,2564,11737,43.02,97.85,0
75.39,4.6,32.32,3235,12816,102.54,58.71,1
60.4,3.99,29.3,1832,2239,53.76,72.59,0
66.95,4.06,60.31,2838,10237,32.1,88.35,0
78.74,5.38,35.93,2360,8080,61.68,73.73,1
88.86,2.56,72.58,2595,7042,23.95,45.79,0
82.31,1.57,55.42,2952,15480,48.47,78.65,0
47.5,3.87,51.58,2241,5334,114.05,57.32,1
78.65,5.88,43.19,2882,2026,61.16,52.94,1
75.86,7.54,63.71,2694,12979,42.3,46.08,1
79.97,5.91,43.74,2470,1898,68.46,89.86,1
94.39,1.86,41.2,2565,50,51.84,59.48,0
50.24,4.08,71.64,2723,13541,83.56,77.0,0
67.91,4.96,59.96,2416,9794,51.99,80.68,0
82.09,4.82,51.71,2804,11364,72.87,74.43,1
56.02,5.47,63.98,2661,6788,47.35,76.45,0
92.71,2.85,55.13,2494,2078,114.78,77.72,1
79.42,4.62,60.36,3595,3071,77.07,74.07,0
85.16,5.26,43.56,3008,7639,65.38,60.6,1
68.15,5.99,83.99,2609,2638,62.73,59.26,0
84.77,3.05,46.89,2873,10535,58.04,70.43,0
87.82,3.88,76.78,2287,6688,54.3,70.11,0
77.79,0.2,52.36,2582,9925,53.81,78.44,0
77.81,3.38,66.3,2640,9776,98.21,88.52,0
78.24,3.56,65.28,2177,10934,58.05,77.16,0
64.64,2.66,71.06,2994,11497,29.67,59.84,0
73.23,4.8,43.23,2547,7280,47.01,39.28,1
73.17,4.4,70.06,2622,9920,84.7,60.47,1
79.6,0.43,80.85,2516,10180,63.46,51.83,1
87.0,4.89,51.38,4200,50,65.59,61.04,0
62.3,2.83,55.49,2469,12233,89.06,75.63,0
73.5,5.37,47.67,1766,9750,54.01,73.27,1
92.78,2.19,50.15,2000,11820,79.38,99.87,0
66.08,4.55,78.96,3180,2566,55.98,79.25,0
65.13,3.99,40.94,3468,7421,78.37,100.0,0
77.43,5.05,41.81,2459,3542,60.96,82.73,0
85.13,4.72,77.55,3439,12723,63.65,88.29,0
75.14,4.04,63.74,3171,1974,82.76,66.62,0
90.95,1.73,84.69,2705,4357,81.46,55.88,1
85.28,1.84,48.69,2670,11672,65.02,65.27,1
85.1,3.45,56.77,2890,5853,59.51,71.82,1
81.65,4.49,45.75,3239,4358,96.78,62.58,1
102.93,3.41,57.01,2999,13534,78.61,56.98,1
72.54,5.63,30.16,2462,13739,60.96,78.25,0
50.96,4.0,64.59,2713,12610,56.24,56.92,0
94.25,2.76,59.53,3791,13244,86.45,49.0,1
69.51,4.0,54.19,2926,7842,70.08,55.17,1
76.29,4.91,49.53,3235,7977,65.06,68.48,1
90.71,5.08,42.47,3070,5760,70.07,57.14,1
55.77,7.88,65.19,2937,9839,74.08,68.58,1
59.98,3.3,38.6,2854,6361,66.98,81.01,0
55.78,4.37,62.17,3249,6835,89.67,80.62,0
65.47,5.27,84.04,3159,12000,90.67,62.09,1
80.28,4.46,75.8,2932,14923,77.57,52.44,1
81.29,3.6,33.93,2453,10991,92.74,63.37,1
78.32,1.71,47.49,2993,17972,68.15,81.83,0
58.05,3.58,60.9,2766,5472,80.43,85.34,0
47.28,2.57,54.02,2646,50,86.08,77.29,0
75.65,1.39,35.41,4139,12573,86.34,90.02,0
69.34,3.07,60.39,2030,5141,84.49,97.94,0
80.51,2.62,54.86,3279,7632,79.36,64.75,1
83.42,5.55,81.8,2369,151,103.23,94.3,1
76.66,5.58,51.45,2866,4504,58.29,68.09,0
84.12,2.87,71.35,4084,1489,65.21,87.3,0
77.75,4.03,37.26,2319,6828,64.14,82.63,0
81.36,1.16,40.61,2438,7027,61.37,42.34,0
66.54,3.61,65.1,2791,9450,32.2,57.51,0
72.84,5.22,70.17,2376,15199,92.75,53.68,1
77.36,5.98,41.6,3242,12385,49.53,45.27,1
84.85,3.22,55.34,2533,889,71.06,85.19,0
70.28,6.39,35.66,3127,12040,42.41,100.0,0
81.25,1.77,52.46,2135,9559,79.17,68.13,0
71.81,2.25,66.72,1897,8511,53.86,84.81,0
73.59,5.78,48.91,2686,8887,47.55,94.27,0
84.95,7.51,51.51,2016,10023,71.5,75.12,1
51.08,5.39,39.18,3559,5541,55.39,71.62,0
59.44,4.43,45.92,2035,8088,57.67,68.31,0
57.21,0.55,79.61,2281,14920,71.09,80.06,0
47.0,0.86,56.02,3007,5480,82.4,85.12,0
66.86,4.73,40.97,2507,3851,53.27,78.93,0
83.99,3.86,50.59,2041,8691,50.16,78.41,0
71.58,2.51,32.64,3820,3347,68.42,71.23,0
77.37,4.62,40.8,2299,386,77.71,48.11,1
88.07,4.71,74.04,2702,7278,94.33,85.47,1
90.93,6.2,53.01,2695,16243,48.72,52.73,1
74.17,4.75,81.47,3155,8807,62.28,81.29,0
91.24,6.71,53.67,3031,9893,89.16,83.34,1
76.11,4.51,54.5,2387,50,103.52,54.89,1
64.95,4.29,63.97,2637,11191,50.12,62.88,0
67.87,6.42,17.58,2687,9467,54.7,100.0,0
57.23,2.74,57.87,3174,5675,74.86,70.81,0
64.34,9.57,54.31,2216,9900,57.6,53.7,1
70.7,5.18,75.8,3809,9851,54.33,84.01,0
84.64,5.19,68.51,2420,3703,72.4,60.41,1
95.65,5.45,39.13,2796,10659,95.89,43.19,1
58.41,7.88,72.39,2220,14986,44.43,79.8,0
79.71,5.93,51.33,2151,7860,94.97,58.25,1
62.51,1.61,42.34,2363,4662,57.65,76.82,0
80.7,7.03,57.76,2315,8112,74.22,59.81,1
73.43,3.89,52.16,2593,13273,96.64,82.61,0
53.03,4.69,76.54,2311,2868,73.86,74.75,0
86.14,2.2,59.77,3148,11893,62.65,33.16,1
67.74,5.45,57.88,2409,5610,80.93,77.73,0
68.59,3.33,67.61,2353,10210,64.88,67.65,0
62.16,4.68,70.3,2604,6178,77.38,93.25,0
67.15,3.99,65.97,3296,6165,64.32,77.93,0
80.13,7.97,74.87,2907,16615,83.5,83.34,0
72.73,8.07,63.52,2750,1955,42.9,61.34,1
78.94,4.58,57.35,2083,11427,49.76,60.15,0
79.34,4.62,72.35,2229,17657,42.64,71.62,0
90.85,3.83,53.73,2161,12428,66.98,66.59,1
70.89,6.49,55.47,3453,2345,40.47,92.07,1
57.28,3.91,79.1,3065,2592,55.55,69.7,0
87.81,3.74,77.71,2369,5242,48.06,53.63,0
71.02,6.26,54.89,2518,9790,94.63,59.59,1
88.38,3.53,48.65,2387,10130,50.17,86.48,0
79.6,4.43,75.48,2357,2642,44.84,69.49,0
73.43,1.65,66.21,3030,4636,72.47,68.69,0
79.19,5.77,59.42,2656,4943,98.36,87.9,0
98.41,7.99,50.49,3841,8096,65.91,58.28,1
99.92,5.8,59.64,3425,18923,67.3,38.47,1
75.83,7.13,54.7,3455,4334,91.23,59.21,1
76.92,2.98,45.7,3136,4115,83.81,75.63,0
87.91,4.93,56.81,2589,3334,75.66,68.26,1
64.85,2.8,58.72,3099,12178,57.52,48.59,0
79.0,4.09,49.74,2626,8793,76.21,87.24,0
74.69,5.89,67.65,3615,4519,43.51,74.45,0
78.77,4.68,73.04,3002,7186,56.77,77.84,0
65.0,1.96,68.58,2931,5042,93.77,78.29,0
55.93,2.13,51.13,2864,10479,91.44,52.52,1
50.12,2.01,65.58,3670,22422,75.87,76.54,0
61.59,5.38,56.09,2083,11754,33.27,85.61,0
69.5,8.22,37.7,3719,8535,46.25,89.1,0
71.48,6.95,64.42,2707,5675,55.77,82.82,0
98.25,1.09,57.05,2097,2283,64.91,79.7,0
88.27,7.06,91.31,2424,12668,45.49,45.94,1
63.45,6.19,75.4,1975,12397,63.57,71.78,0
79.17,1.72,64.96,3127,6669,99.81,57.65,1
70.12,3.95,58.49,2281,15067,75.22,91.23,0
71.59,6.47,57.29,2884,9106,71.94,88.96,1
77.22,5.49,40.95,3367,12874,49.68,57.74,1
82.43,2.14,30.65,2464,10481,38.5,71.31,0
70.93,5.6,42.78,2666,8114,45.89,75.73,0
87.77,0.65,54.33,2148,4226,37.77,85.51,0
61.3,4.1,25.52,2606,8272,69.35,46.87,1
75.08,6.55,47.38,4087,13210,74.91,38.86,1
106.17,4.53,51.53,3189,6459,50.62,72.57,1
77.68,3.6,51.98,2668,11199,70.66,34.03,1
92.2,6.1,45.74,2494,3586,94.44,74.38,1
76.1,6.25,50.22,2779,12900,103.24,80.88,1
81.97,6.86,79.13,2865,10565,81.87,90.54,0
74.32,6.07,64.27,2590,2989,64.85,62.66,1
72.96,6.45,47.16,3065,7880,81.29,74.42,1
65.65,5.82,54.04,2323,13657,92.33,81.77,1
80.16,4.98,54.6,2321,2705,31.87,54.36,1
64.78,4.66,44.25,2985,3645,94.68,85.73,0
82.99,4.07,44.23,2216,8653,58.2,76.12,0
88.02,2.32,69.15,3165,19667,58.37,62.92,1
79.4,2.78,49.12,2793,5637,61.61,74.12,0
71.57,3.99,39.67,1886,11476,73.76,69.91,0
80.45,4.93,54.4,2855,10301,48.0,83.7,0
71.3,7.09,56.65,1957,6052,62.87,66.59,0
86.23,4.42,27.38,3147,9806,77.45,75.41,1
53.02,6.31,54.43,2676,6761,71.93,62.69,1
